City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
333,yar-sale,66.8333,70.8333,17.37,96,100,13.53,RU
334,sokoni,-6.4333,39.55,81.43,77,96,12.93,TZ
335,santa comba,43.0331,-8.8093,48.79,69,9,11.56,ES
336,atocha,-20.9333,-66.2333,50.34,69,70,6.22,BO
337,mandalgovi,45.7625,106.2708,-6.38,80,95,4.03,MN
338,maniitsoq,65.4167,-52.9,23.67,95,100,4.0,GL
339,woodward,36.4337,-99.3904,34.83,78,100,8.05,US
340,vajszlo,45.8596,17.9841,42.12,93,100,3.67,HU
341,muros,42.7762,-9.0603,54.84,59,4,16.91,ES
342,kudahuvadhoo,2.6708,72.8944,79.12,80,95,15.26,MV
343,aguimes,27.9054,-15.4461,67.66,56,40,17.27,ES
344,katangli,51.7102,143.2326,-13.5,98,100,15.19,RU
345,xinyang,32.1228,114.0656,26.64,25,17,5.19,CN
346,kokkola,63.8385,23.1307,31.93,97,100,8.05,FI
347,tomatlan,19.9333,-105.25,60.89,94,69,3.36,MX
348,buchanan,5.8808,-10.0467,84.42,65,91,4.25,LR
349,phalaborwa,-23.943,31.1411,95.72,20,100,6.89,ZA
350,lavrentiya,65.5833,-171.0,-15.54,95,27,11.16,RU
351,vilyuysk,63.7553,121.6247,-37.64,98,98,5.32,RU
352,narsaq,60.9167,-46.05,21.42,95,100,3.31,GL
353,pierre,44.3683,-100.351,20.32,91,0,3.44,US
354,abu zabad,12.35,29.25,90.91,17,14,14.83,SD
355,baoqing,46.3317,132.2111,-12.23,90,100,10.36,CN
356,soe,-9.8607,124.284,67.48,95,100,1.25,ID
357,coquimbo,-29.9533,-71.3436,64.13,82,75,2.3,CL
358,caorle,45.5966,12.8758,53.42,71,100,12.5,IT
359,jequitinhonha,-16.4339,-41.0033,82.9,70,97,1.99,BR
360,iskateley,67.6803,53.1512,15.93,94,94,17.65,RU
361,port elizabeth,-33.918,25.5701,77.29,61,75,27.63,ZA
